"Time","CS_0PA1FSA00_TL","CS_0PA1RSF00_TL","CS_0PA1RDMFA_TL","CS_0PA1RDMEA_TL","CS_0PA1RHRW0_TL","CS_0PA1RHC00_TL","CS_0PA1RCC00_TL","CS_0PA1RSV00_TL","CS_0PA1TRA00_TL","CS_0PA1HRA00_TL","CS_0PA1TSA00_TL","CS_0PA1HSA00_TL","CS_0PA1TOA00_TL","CS_0PA1HOA00_TL","SAT_SP_TL","SASP_SP_TL","CS_0PA1_SA_CO2_TL","CS_0PA1_RA_CO2_TL","CS_0PA2FSA00_TL","CS_0PA2RSF00_TL","CS_0PA2RDMFA_TL","CS_0PA2RDMEA_TL","CS_0PA2RHRW0_TL","CS_0PA2RHC00_TL","CS_0PA2RCC00_TL","CS_0PA2RSV00_TL","CS_0PA2TRA00_TL","CS_0PA2HRA00_TL","CS_0PA2TSA00_TL","CS_0PA2HSA00_TL","SAT_SP_TL.1","SASP_SP_TL.1","CS_0PA2_SA_CO2_TL","CS_0PA2_RA_CO2_TL"
"2018-08-19 0:00",7.1859,7.5,0,0,0,0,0,0,23.042,61.472,20.451,11.665,19.749,92.5,13,500,436.1,454.21,79.776,61.746,100,100,0,0,27.345,0,22.699,60.545,17.975,13.386,18,300,436.51,434.07
"2018-08-19 1:00",6.182,15.11,0,0,0,0,0,0,23.043,61.325,15.827,11.687,19.33,92.5,13,500,436.1,454.21,75.593,61.746,100,100,0,0,26.661,0,22.686,60.644,17.998,13.394,18,300,436.51,434.07
"2018-08-19 2:00",6.5297,7.5,0,0,0,0,0,0,22.905,61.683,16.602,11.693,18.96,92.474,13,500,436.1,454.21,74.28,61.746,100,100,0,0,24.834,0,22.592,60.473,18.036,13.392,18,300,436.51,434.07
"2018-08-19 3:00",12.834,12.208,0,0,0,0,0,0,22.935,60.862,16.289,11.695,18.364,92.5,13,500,431.93,454.21,73.536,61.746,100,100,0,0,22.202,0,22.542,60.126,18,13.394,18,300,436.51,440.17
"2018-08-19 4:00",0.00027286,0,0,0,0,0,0,0,22.781,61.377,16.105,11.699,17.851,92.5,13,500,439.56,454.21,73.625,61.746,100,100,0,0,21,0,22.579,59.663,18.044,13.396,18,300,436.51,452.38
"2018-08-19 5:00",7.5077,19.404,0,0,0,0,0,0,22.701,61.818,17.436,11.69,17.396,92.5,13,500,435.49,454.21,73.409,61.746,100,100,0,0,17.003,0,22.487,59.313,17.958,13.397,18,300,436.51,458.49
"2018-08-19 6:00",6.1023,14.738,0,0,0,0,0,0,22.886,59.788,16.177,11.702,16.857,92.5,13,500,439.56,454.21,70.849,61.746,100,100,0,0,15.84,0,22.47,58.537,17.99,13.398,18,300,436.51,458.49
"2018-08-19 7:00",6.1023,12.226,0,0,0,0,0,0,22.905,59.309,15.922,11.704,17.487,92.158,13,500,439.36,454.21,71.951,61.746,100,100,0,0,18.601,0,22.603,57.82,17.984,13.391,18,300,436.51,458.49
"2018-08-19 8:00",83.58,54.803,53.801,46.154,0,0,25.281,0,22.972,57.377,15.472,11.704,19.525,77.922,13.062,500,427.15,454.21,81.467,61.746,100,100,0,0,26.027,0,22.551,57.65,18.043,13.392,18,300,436.51,458.49
"2018-08-19 9:00",157.86,79.159,97.729,100,0,0,15.652,0,22.587,56.971,15.96,11.704,21.513,58.523,15.789,500,415.14,454.21,93.593,61.746,100,100,0,0,27.673,0,22.448,57.319,17.944,13.393,18,300,436.51,446.36
"2018-08-19 10:00",157.47,79.153,40,15.385,0,0,17.754,0,22.669,57.928,16.013,11.703,23.45,52.576,16,500,394.79,454.21,105.21,69.26,30,0,0,0,32.335,0,22.377,58.29,17.912,13.388,18,300,436.51,434.07
"2018-08-19 11:00",155.21,78.918,40,0,0,0,17.62,0,22.698,57.738,15.973,11.694,25.771,44.513,16,500,390.72,454.21,107.03,71.762,30,0,0,0,31.974,0,22.434,58.152,17.908,13.383,18,300,436.51,434.07
"2018-08-19 12:00",153.33,78.146,40,0,0,0,16.778,0,22.707,57.002,15.96,11.696,27.426,32.782,16,500,366.3,454.21,103.27,66.76,30,0,0,0,32.225,0,22.548,56.941,18.04,13.383,18,300,416.16,434.07
"2018-08-19 13:00",151.78,77.927,40,0,0,0,16.936,0,22.641,56.411,16.001,11.691,27.445,32.097,16,500,366.3,454.21,103.28,66.76,30,0,0,0,33.69,0,22.503,56.242,18.141,13.384,18,300,412.09,434.07
"2018-08-19 14:00",147.14,77.095,40,0,0,0,16.221,0,22.522,56.129,15.948,11.697,27.462,32.798,16,500,366.3,454.21,105.12,71.768,30,0,0,0,32.729,0,22.429,55.884,17.885,13.378,18,300,412.09,434.07
"2018-08-19 15:00",138.35,75.783,40,0,0,0,16.484,0,22.493,55.714,16.059,11.695,27.942,30.662,16,500,366.3,454.21,107.98,71.768,30,0,0,0,36.335,0,22.416,55.428,18.097,13.387,18,300,412.09,427.96
"2018-08-19 16:00",125.8,72.566,40,0,0,0,15.767,0,22.503,55.049,15.999,11.7,30.943,23.629,16,500,366.3,454.21,110.68,71.768,30,0,0,0,34.802,0,22.424,54.736,18.066,13.389,18,300,412.09,409.65
"2018-08-19 17:00",4.2903,0,0,0,0,0,0,0,23.145,52.966,17.159,11.684,27.826,29.804,13.338,500,411.58,442,124.71,76.776,30,0,0,0,36.605,0,22.619,53.73,18.061,13.392,17.94,300,412.09,409.65
"2018-08-19 18:00",0,0,0,0,0,0,0,0,24.258,50.224,19.893,11.659,26.453,30.376,13,500,415.75,429.79,135.95,76.776,30,0,0,0,36.607,0,22.783,52.967,17.689,13.396,17.687,300,412.09,421.86
