h,m,l,L
3,3,2,1.5
0,0,0,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4,2,0
88,60.5,26,2
203,104,60,5.5
271,145,80,11
303,179.5,87,19.5
333,180,94,25.5
360,174,107,25.5
376,178,115,31.5
372,169,107,33
281,145.5,86,30
193,111.5,62,26
146,95.5,45,21.5
119,79,28,16.5
65,39,20,11.5
32,14,11,9
14,7,7,6
