Time,PIR_B112,PIR_B203,PIR_B204,PIR_B201,PIR_B202,PIR_B207,PIR_B208,PIR_B205,PIR_B206,PIR_B209,CO2_B105A,CO2_B112,CO2_B203,CO2_B203A,CO2_B201,CO2_B202,CO2 _B207,CO2_B208,CO2_B205,CO2_B206,CO2_B209,CO2_B301A,CO2_B301B,light,plug,devices,groundtruth
2018-07-30 18:00,0,0,0,0,0,0,0,0,0,0,617.8266,731.624,607.5702,630.0479,660.8058,535.7753,581.685,668.6202,647.6191,649.5726,555.7997,742.8571,741.8803,2.34,0.43,30,9
2018-07-30 18:05,0,0,0,0,0,0,0,0,0,0,610.0122,731.624,607.5702,630.0479,660.8058,535.7753,581.685,668.6202,647.6191,649.5726,555.7997,731.624,738.9499,2.34,0.44,31,10
2018-07-30 18:10,0,0,0,0,0,0,0,0,0,0,610.0122,729.5065,607.5702,630.0479,660.8058,535.7753,581.685,668.6202,647.6191,649.5726,555.7997,731.624,738.9499,2.34,0.44,30,10
2018-07-30 18:15,0,0,0,0,0,0,0,0,0,0,610.0122,724.7863,607.5702,630.0479,660.8058,535.7753,581.685,668.6202,647.6191,649.5726,555.7997,731.624,738.9499,2.36,0.43,31,7
2018-07-30 18:20,0,0,0,0,0,0,0,0,0,0,599.7558,728.6935,610.0122,624.6642,660.8058,535.7753,573.8705,659.829,647.6191,649.5726,555.7997,711.5995,704.7619,2.38,0.44,26,7
2018-07-30 18:25,0,0,0,0,0,0,0,0,0,0,599.7558,726.7399,610.0122,624.6642,655.9218,526.9841,573.8705,659.829,647.6191,649.5726,552.8694,711.5995,704.7619,2.42,0.43,25,5
2018-07-30 18:30,0,0,0,0,0,0,0,0,0,0,599.7558,727.7387,610.0122,624.6642,655.9218,526.9841,573.8705,659.829,641.7582,590.9646,552.8694,711.5995,704.7619,2.48,0.43,21,8
2018-07-30 18:35,0,0,0,0,0,0,0,0,0,0,595.8486,725.7631,610.0122,624.6642,655.9218,526.9841,573.8705,659.829,641.7582,590.9646,552.8694,692.7473,676.9231,2.51,0.42,21,6
2018-07-30 18:40,0,0,0,0,0,0,0,0,0,0,595.8486,720.8792,610.0122,624.6642,655.9218,526.9841,573.8705,659.829,641.7582,590.9646,552.8694,692.7473,676.9231,2.51,0.42,21,5
2018-07-30 18:45,0,0,0,0,0,0,0,0,0,0,595.8486,720.8792,610.0122,624.6642,655.9218,526.9841,573.8705,659.829,641.7582,590.9646,552.8694,692.7473,676.9231,1.29,0.42,19,5
2018-07-30 18:50,0,0,0,0,0,0,0,0,0,0,600.7326,718.9255,602.6862,618.8034,655.9218,526.9841,568.9866,649.5726,641.7582,590.9646,552.8694,682.7839,663.7363,1.43,0.44,17,5
2018-07-30 18:55,0,0,0,0,0,0,0,0,0,0,600.7326,716.9719,602.6862,618.8034,653.9683,524.5504,568.9866,649.5726,641.7582,590.9646,543.5897,682.7839,663.7363,1.43,0.43,18,6
