Time,PIR_C104A,PIR_C104,PIR_C106,PIR_C106,PIR_C000,PIR_C101,PIR_C101,PIR_C101C,PIR_C103,PIR_C108,PIR_C110,PIR_C111,PIR_C201,PIR_C202,PIR_C203,PIR_C204,PIR_C205,PIR_C207,PIR_C911A,PIR_C911B,PIR_C912,CO2_C104A,CO2_C104B,CO2_C106A,CO2_C106,CO2_C000,CO2_C101,CO2_C101B,CO2_C101C,CO2_C103,CO2_C108,CO2_C110,CO2_C111,CO2_C201,CO2_C202,CO2_C203,CO2_C204,CO2_C205,CO2_C207,CO2_C911,CO2_C912,light,plug,devices,groundtruth
2018-05-15 16:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.79,1.44,16.5,8
2018-05-15 16:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.8,1.42,14.5,7
2018-05-15 16:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,689.9732,593.895,442.0024,660.8058,694.0171,580.7082,574.8474,679.8535,548.939,582.0618,663.0363,674.9695,476.6789,694.0171,604.6166,591.9182,615.8498,532.8449,541.6361,737.9731,4.8,1.42,13.6667,7
2018-05-15 17:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,679.8535,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,737.9731,4.8,1.54,14,7
2018-05-15 17:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,679.8535,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,737.9731,4.8,1.43,15,6
2018-05-15 17:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,693.1074,598.6151,437.6069,665.6899,684.7375,579.7314,568.0098,658.921,548.939,563.991,664.0131,679.8535,469.8413,683.7607,600.7094,588.011,611.9426,506.9597,521.6118,695.9927,4.99,1.45,15,6
2018-05-15 17:16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.44,15,5
2018-05-15 17:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.42,15,5
2018-05-15 17:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,686.6911,557.7534,442.0024,665.6899,675.9463,573.8705,555.7997,658.921,548.939,557.7394,651.5381,669.6947,466.9109,669.597,603.6398,587.0342,605.5934,501.5873,515.7509,695.9927,4.98,1.41,15.5,5
2018-05-15 17:31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,689.6215,570.9402,442.9792,666.6666,669.597,570.9402,562.6374,658.921,548.939,551.2926,630.2791,673.0159,463.0037,648.5959,589.9646,578.7314,601.6862,497.6801,498.6569,695.9927,4.99,1.4,14.6667,4
