"Time","DC","Groundtruth"
2018-06-19 13:39:00,31,24
2018-06-19 13:44:00,35,29
2018-06-19 13:49:00,35,31
2018-06-19 13:54:00,35,34
2018-06-19 13:59:00,42,32
2018-06-19 14:04:00,43,32
2018-06-19 14:09:00,44,32
2018-06-19 14:14:00,44,36
2018-06-19 14:19:00,38,37
2018-06-19 14:24:00,39,43
2018-06-19 14:29:00,47,45
2018-06-19 14:34:00,50,44
2018-06-19 14:39:00,48,45
2018-06-19 14:44:00,48,46
2018-06-19 14:49:00,52,43
2018-06-19 14:54:00,52,47
2018-06-19 14:59:00,50,46
2018-06-19 15:04:00,52,43
2018-06-19 15:09:00,47,44
2018-06-19 15:14:00,47,45
2018-06-19 15:19:00,48,47
2018-06-19 15:24:00,48,43
2018-06-19 15:29:00,45,42
2018-06-19 15:34:00,38,41
2018-06-19 15:39:00,41,38
2018-06-19 15:44:00,39,38
2018-06-19 15:49:00,39,38
2018-06-19 15:54:00,40,40
2018-06-19 15:59:00,40,33
2018-06-19 16:04:00,45,35
2018-06-19 16:09:00,43,31
2018-06-19 16:14:00,41,38
2018-06-19 16:19:00,41,37
2018-06-19 16:24:00,40,38
2018-06-19 16:29:00,40,40
2018-06-19 16:34:00,40,38
2018-06-19 16:39:00,39,39
2018-06-19 16:44:00,37,37
2018-06-19 16:49:00,41,38
2018-06-19 16:54:00,41,36
2018-06-19 16:59:00,37,35
2018-06-19 17:04:00,37,33
2018-06-19 17:09:00,34,35
2018-06-19 17:14:00,32,36
2018-06-19 17:19:00,32,36
2018-06-19 17:24:00,32,35
2018-06-19 17:29:00,33,33
2018-06-19 17:34:00,33,15
2018-06-19 17:39:00,29,11
2018-06-19 17:44:00,29,11
2018-06-19 17:49:00,18,10
2018-06-19 17:54:00,14,10
2018-06-19 17:59:00,14,10
2018-06-19 18:04:00,12,10
2018-06-19 18:09:00,14,8
2018-06-19 18:14:00,16,8
2018-06-19 18:19:00,12,8
2018-06-19 18:24:00,11,7
2018-06-19 18:29:00,11,9
2018-06-19 18:34:00,9,7
2018-06-19 18:39:00,9,7
2018-06-19 18:44:00,8,7
2018-06-19 18:49:00,7,7
2018-06-19 18:54:00,6,6
2018-06-19 18:59:00,6,6
2018-06-19 19:04:00,7,6
2018-06-19 19:09:00,6,5
2018-06-19 19:14:00,7,5
2018-06-19 19:19:00,7,7
2018-06-19 19:24:00,7,6
2018-06-19 19:29:00,6,6
2018-06-19 19:34:00,9,6
2018-06-19 19:39:00,8,6
2018-06-19 19:44:00,8,6
2018-06-19 19:49:00,9,4
2018-06-19 19:54:00,6,4
2018-06-19 19:59:00,5,4
2018-06-19 20:04:00,7,4
2018-06-19 20:09:00,7,4
2018-06-19 20:14:00,6,4
2018-06-19 20:19:00,6,4
2018-06-19 20:24:00,6,4
2018-06-19 20:29:00,6,5
2018-06-19 20:34:00,6,4
2018-06-19 20:39:00,7,4
2018-06-19 20:44:00,7,4
2018-06-19 20:49:00,7,4
2018-06-19 20:54:00,6,4
2018-06-19 20:59:00,6,4
2018-06-19 21:04:00,6,4
2018-06-19 21:09:00,6,4
2018-06-19 21:14:00,7,4
2018-06-19 21:19:00,7,2
2018-06-19 21:24:00,7,2
2018-06-19 21:29:00,7,4
2018-06-19 21:34:00,6,4
2018-06-19 21:39:00,9,4
2018-06-19 21:44:00,9,4
2018-06-19 21:49:00,9,4
2018-06-19 21:54:00,10,4
2018-06-19 21:59:00,9,4
2018-06-20 06:04:00,2,1
2018-06-20 06:09:00,4,1
2018-06-20 06:14:00,4,1
2018-06-20 06:19:00,2,1
2018-06-20 06:24:00,3,0
2018-06-20 06:29:00,4,2
2018-06-20 06:34:00,3,2
2018-06-20 06:39:00,3,3
2018-06-20 06:44:00,3,2
2018-06-20 06:49:00,3,2
2018-06-20 06:54:00,2,2
2018-06-20 06:59:00,2,2
2018-06-20 07:04:00,3,2
2018-06-20 07:09:00,2,2
2018-06-20 07:14:00,2,2
2018-06-20 07:19:00,3,2
2018-06-20 07:24:00,3,2
2018-06-20 07:29:00,2,2
2018-06-20 07:34:00,3,2
2018-06-20 07:39:00,2,2
2018-06-20 07:44:00,2,2
2018-06-20 07:49:00,2,2
2018-06-20 07:54:00,2,2
2018-06-20 07:59:00,2,2
2018-06-20 08:04:00,3,2
2018-06-20 08:09:00,2,3
2018-06-20 08:14:00,3,3
2018-06-20 08:19:00,3,3
2018-06-20 08:24:00,3,4
2018-06-20 08:29:00,3,4
2018-06-20 08:34:00,3,5
2018-06-20 08:39:00,3,7
2018-06-20 08:44:00,2,8
2018-06-20 08:49:00,6,11
2018-06-20 08:54:00,9,20
2018-06-20 08:59:00,9,21
2018-06-20 09:04:00,12,22
2018-06-20 09:09:00,22,21
2018-06-20 09:14:00,21,21
2018-06-20 09:19:00,21,21
2018-06-20 09:24:00,20,24
2018-06-20 09:29:00,21,21
2018-06-20 09:34:00,21,21
2018-06-20 09:39:00,21,21
2018-06-20 09:44:00,23,21
2018-06-20 09:49:00,20,21
2018-06-20 09:54:00,21,21
2018-06-20 09:59:00,20,21
2018-06-20 10:04:00,21,21
2018-06-20 10:09:00,21,23
2018-06-20 10:14:00,22,22
2018-06-20 10:19:00,24,23
2018-06-20 10:24:00,21,24
2018-06-20 10:29:00,21,28
2018-06-20 10:34:00,26,28
2018-06-20 10:39:00,28,26
2018-06-20 10:44:00,28,26
2018-06-20 10:49:00,30,27
2018-06-20 10:54:00,30,24
2018-06-20 10:59:00,30,24
2018-06-20 11:04:00,30,25
2018-06-20 11:09:00,32,24
2018-06-20 11:14:00,34,24
2018-06-20 11:19:00,31,25
