Time,PIR_D102,PIR_D001,PIR_D103A,PIR_D104A,PIR_D104B,PIR_D105,PIR_D202,PIR_D203,PIR_D005,PIR_D206,PIR_D204,PIR_D207,PIR_D208,PIR_D205,PIR_D302,PIR_D301,PIR_D303,PIR_D304,PIR_D101A,CO2_D102,CO2_D001,CO2_D103A,CO2_D104A,CO2_D104B,CO2_D105,CO2_D202,CO2_D203,CO2_D005,CO2_D206,CO2_D204,CO2_D207,CO2_D302,CO2_D301,CO2_D303,CO2_D304,light,plug,devices,groundtruth
2018-06-18 15:34,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,880.5861,924.0538,610.989,699.8779,687.6679,760.928,778.022,926.9841,1008.9377,739.9267,750.6715,746.7643,669.6738,696.9904,623.7642,764.8351,4.86,0.48,52,56
2018-06-18 15:39,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,880.5861,924.0538,610.989,699.8779,687.6679,760.928,778.022,926.9841,1008.9377,739.9267,750.6715,746.7643,669.6738,696.9904,623.7642,764.8351,4.87,0.5,52,55
2018-06-18 15:44,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,880.5861,924.0538,610.989,699.8779,687.6679,760.928,778.022,926.9841,1008.9377,739.9267,750.6715,746.7643,669.6738,696.9904,623.7642,764.8351,4.86,0.49,53,57
2018-06-18 15:49,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,871.7949,900.6105,624.6642,696.9475,686.6911,774.6031,762.8816,908.4249,1023.6874,741.8803,733.5775,746.7643,674.0695,710.6227,623.7642,761.9048,4.86,0.5,51,57
2018-06-18 15:54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,871.7949,900.6105,624.6642,696.9475,686.6911,774.6031,762.8816,908.4249,1023.6874,741.8803,733.5775,736.0195,674.0695,710.6227,616.9266,761.9048,4.78,0.5,52,50
2018-06-18 15:59,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,871.7949,900.6105,624.6642,696.9475,686.6911,774.6031,762.8816,908.4249,1023.6874,741.8803,733.5775,736.0195,674.0695,710.6227,616.9266,761.9048,4.78,0.51,54,46
2018-06-18 16:04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,870.8181,912.8206,602.6862,701.8315,682.7839,765.7143,766.7888,897.6801,983.6385,736.9963,714.0415,736.0195,662.8362,694.0171,616.9266,763.8583,4.77,0.6,56,46
2018-06-18 16:09,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,870.8181,912.8206,602.6862,701.8315,682.7839,765.7143,766.7888,897.6801,983.6385,736.9963,714.0415,736.0195,662.8362,694.0171,616.9266,763.8583,4.77,0.52,51,47
2018-06-18 16:14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,870.8181,912.8206,602.6862,701.8315,682.7839,765.7143,766.7888,897.6801,983.6385,736.9963,714.0415,736.0195,662.8362,694.0171,616.9266,763.8583,4.78,0.61,58,55
2018-06-18 16:19,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,865.9341,900.6105,616.8498,704.7619,683.7607,800.9769,762.8816,880.0977,988.0342,792.674,711.5995,736.0195,666.7434,700.39,616.9266,752.6251,4.78,0.5,58,55
2018-06-18 16:24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,865.9341,900.6105,616.8498,704.7619,683.7607,800.9769,762.8816,880.0977,988.0342,792.674,711.5995,735.0427,666.7434,700.39,614.973,752.6251,4.79,0.51,62,58
2018-06-18 16:29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,865.9341,900.6105,616.8498,704.7619,683.7607,800.9769,762.8816,880.0977,988.0342,792.674,711.5995,735.0427,666.7434,700.39,614.973,752.6251,4.79,0.52,64,57
2018-06-18 16:34,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,856.6545,888.8889,610.0122,689.6215,678.8767,802.9305,751.6483,881.0745,943.5898,821.978,703.7851,735.0427,655.0218,685.6923,614.973,757.0208,4.8,0.52,63,60
2018-06-18 16:39,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,856.6545,888.8889,610.0122,689.6215,678.8767,802.9305,751.6483,881.0745,943.5898,821.978,703.7851,735.0427,655.0218,685.6923,614.973,757.0208,4.7,0.51,64,55
2018-06-18 16:44,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,856.6545,888.8889,610.0122,689.6215,678.8767,802.9305,751.6483,881.0745,943.5898,821.978,703.7851,735.0427,655.0218,685.6923,614.973,757.0208,5.38,0.52,64,57
2018-06-18 16:49,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,851.7705,899.6317,600.7326,686.6911,683.7607,811.7216,747.7411,916.2394,876.6788,808.7913,706.7155,735.0427,653.0682,678.8767,614.973,788.7668,5.37,0.52,61,57
2018-06-18 16:54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,851.7705,899.6317,600.7326,686.6911,683.7607,811.7216,747.7411,916.2394,876.6788,808.7913,706.7155,721.856,653.0682,678.8767,619.8458,788.7668,5.36,0.5,61,58
2018-06-18 16:59,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,851.7705,899.6317,600.7326,686.6911,683.7607,811.7216,747.7411,916.2394,876.6788,808.7913,706.7155,721.856,653.0682,678.8767,619.8458,788.7668,5.37,0.49,59,58
2018-06-18 17:04,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,854.7009,906.9597,591.9414,681.8071,672.0391,810.7449,747.7411,927.4725,866.9108,811.7216,699.8779,721.856,659.9058,685.7143,619.8458,789.7436,5.36,0.5,51,49
2018-06-18 17:09,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,854.7009,906.9597,591.9414,681.8071,672.0391,810.7449,747.7411,927.4725,866.9108,811.7216,699.8779,721.856,659.9058,685.7143,619.8458,789.7436,5.36,0.47,49,46
2018-06-18 17:14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,854.7009,906.9597,591.9414,681.8071,672.0391,810.7449,747.7411,927.4725,866.9108,811.7216,699.8779,721.856,659.9058,685.7143,619.8458,789.7436,5.36,0.46,49,47
2018-06-18 17:19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,854.7009,856.6545,604.6398,680.8303,669.597,794.6276,747.7411,925.5189,866.9108,808.7913,704.7619,721.856,646.7191,694.0171,619.8458,811.7216,5.35,0.47,39,47
